OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country,completene,completeness_judge,ref_id,tnorm
"1176",54.3283701607,40.6243936258,39767.9926391,"141","642",RUS.RZ,Ryazan,"0",RUC-OO,Central European Russia,RUC,"14","1",Europe,RUS,Russian Federation (the),"2","2","87",0.355
"1189",53.8912338382,37.5575774497,25509.7624604,"151","655",RUS.TL,Tula,"0",RUC-OO,Central European Russia,RUC,"14","1",Europe,RUS,Russian Federation (the),"2","2","87",0.592
"1190",57.0941405666,34.7134017146,84465.4733405,"179","656",RUS.TV,Tver,"0",RUC-OO,Central European Russia,RUC,"14","1",Europe,RUS,Russian Federation (the),"2","2","87",0.212
"1191",50.9720232133,40.2194276851,52178.0316619,"210","657",RUS.VR,Voronezh,"0",RUC-OO,Central European Russia,RUC,"14","1",Europe,RUS,Russian Federation (the),"2","2","87",0.402
"1207",48.7049353017,19.4803829712,48457.7888628,"166","675",SVK,Slovakia,"0",CZE-SK,Slovakia,CZE,"11","1",Europe,SVK,Slovakia,"2","2","29",0.343
"1208",46.1235641703,14.8265383731,20421.1174301,"232","676",SVN,Slovenia,"0",YUG-SL,Slovenia,YUG,"13","1",Europe,SVN,Slovenia,"3","2","2416",1.136
"1209",62.7651066199,16.7313854372,442884.44107,"1610","677",SWE,Sweden,"0",SWE-OO,Sweden,SWE,"10","1",Europe,SWE,Sweden,"3","2","2355",0.364
"1266",49.0234869586,31.4078658733,595741.21635,"785","734",UKR,Ukraine,"0",UKR-UK,Ukraine,UKR,"14","1",Europe,UKR,Ukraine,"2","2","2353",0.132
"1360",40.3892980737,-3.55550482038,494029.074568,"763","328",ESP.ESP,Spain (mainland),"0",SPA-SP,Spain,SPA,"12","1",Europe,ESP,Spain,"3","2","2387",0.154
"1361",39.6483819807,-7.97743435524,88951.2922523,"486","538",PRT.PRT,Portugal (mainland),"0",POR-OO,Portugal,POR,"12","1",Europe,PRT,Portugal,"3","2","2387",0.546
"1362",46.6218195976,2.46083191659,540019.523293,"735","340",FRA.FRA,France (mainland),"0",FRA-FR,France,FRA,"12","1",Europe,FRA,France,"3","2","29",0.136
"1030",64.4831563524,14.3874944143,293847.340063,"604","520",NOR,Norway (mainland),"0",NOR-OO,Norway,NOR,"10","1",Europe,NOR,Norway,"3","2","29",0.206
"912",53.1782213914,-8.14504461757,69445.0164808,"385","403",IRL,Ireland,"1",IRE-IR,Ireland,IRE,"10","1",Europe,IRL,Ireland,"2","2","29",0.554
"1523",53.904748825,47.9630718277,36840.8373706,"201","1247",RUS.UL,"Ulyanovsk Oblast, Russian Federation","0",RUC-OO,Central European Russia,RUC,"14","1",Europe,RUS,Russian Federation (the),"2","2","2392",0.546
"1558",48.9462106949,11.4223444839,70505.9973542,"422","1286",DEU.BY,"Bayern, Germany","0",GER-OO,Germany,GER,"11","1",Europe,DEU,Germany,"3","2","2405",0.599
"1565",52.7703443333,9.16992400295,47767.5459739,"294","1293",DEU.NI,"Niedersachsen, Germany","0",GER-OO,Germany,GER,"11","1",Europe,DEU,Germany,"3","2","2405",0.615
"1557",48.5418924181,9.05144111988,35989.0710827,"329","1285",DEU.BW,"Baden-WΞΒΞΒrttemberg, Germany","0",GER-OO,Germany,GER,"11","1",Europe,DEU,Germany,"3","2","2405",0.914
"1566",51.4766733738,7.56652845445,34273.7755042,"382","1294",DEU.NW,"Nordrhein-Westfalen, Germany","0",GER-OO,Germany,GER,"11","1",Europe,DEU,Germany,"3","2","2405",1.115
"1560",52.47328025,13.3990663619,29458.3777462,"276","1288",DEU.BB,"Brandenburg, Germany","0",GER-OO,Germany,GER,"11","1",Europe,DEU,Germany,"3","2","2405",0.937
"1564",53.7531201769,12.5375837844,23193.1582986,"186","1292",DEU.MV,"Mecklenburg-Vorpommern, Germany","0",GER-OO,Germany,GER,"11","1",Europe,DEU,Germany,"3","2","2405",0.802
"1563",50.6022127209,9.03943801768,20983.4577999,"357","1291",DEU.HE,"Hessen, Germany","0",GER-OO,Germany,GER,"11","1",Europe,DEU,Germany,"3","2","2405",1.701
"1569",52.0119372303,11.7054956351,20602.675086,"600","1297",DEU.ST,"Sachsen-Anhalt, Germany","0",GER-OO,Germany,GER,"11","1",Europe,DEU,Germany,"3","2","2405",2.912
"1567",49.9165233089,7.45364496241,19835.083219,"403","1295",DEU.RP,"Rheinland-Pfalz, Germany","0",GER-OO,Germany,GER,"11","1",Europe,DEU,Germany,"3","2","2405",2.032
"1570",51.0512550103,13.3541361892,18417.9241722,"464","1298",DEU.SN,"Sachsen, Germany","0",GER-OO,Germany,GER,"11","1",Europe,DEU,Germany,"3","2","2405",2.519
"1572",50.9029749517,11.0304845364,16256.1084645,"369","1300",DEU.TH,"ThΞΒΞΒringen, Germany","0",GER-OO,Germany,GER,"11","1",Europe,DEU,Germany,"3","2","2405",2.27
"1571",54.1888268131,9.80582802466,15651.812556,"198","1299",DEU.SH,"Schleswig-Holstein, Germany","0",GER-OO,Germany,GER,"11","1",Europe,DEU,Germany,"3","2","2405",1.265
"1568",49.3911587882,6.95720789472,2560.73720667,"276","1296",DEU.SL,"Saarland, Germany","0",GER-OO,Germany,GER,"11","1",Europe,DEU,Germany,"3","2","2405",10.778
"1559",52.4993363,13.4087822244,885.31808391,"185","1287",DEU.BE,"Berlin, Germany","0",GER-OO,Germany,GER,"11","1",Europe,DEU,Germany,"3","2","2405",20.896
"1562",53.5545680308,10.0272090388,768.156743459,"186","1290",DEU.HH,"Hamburg, Germany","0",GER-OO,Germany,GER,"11","1",Europe,DEU,Germany,"3","2","2405",24.214
"1561",53.1121443239,8.7862344974,318.857935186,"125","1289",DEU.HB,"Bremen, Germany","0",GER-OO,Germany,GER,"11","1",Europe,DEU,Germany,"3","2","2405",39.202
