"ref_id","ref_type","reference"
43,1,"Franklin, J., G. Keppel, and W. A. Whistler. 2008. The vegetation and flora of Lakeba, Nayau and Aiwa islands, central Lau Group, Fiji. Micronesica 40:169–225."
44,1,"Frenot, Y., S. L. Chown, J. Whinam, P. M. Selkirk, P. Convey, M. Skotnicki, and D. M. Bergstrom. 2005. Biological invasions in the Antarctic: extent, impacts and implications. Biological Reviews 80:45-72."
45,6,"Fuentes, N. 2013. pers. communication."
46,2,"Gabrielsen, G. W., B. Brekke, I. G. Alsos, and J. R. Hansen. 1997. Natur-og kulturmiljøet på Jan Mayen Med en vurdering av verneverdier, kunnskapsbehov ogforvaltning. Meddelelser Nr. 144. Norsk Polarinstitutt, Oslo; Norway."
47,3,"Gage, S., S. L. Joneson, V. Y. Barkalov, N. A. Eremenko, and H. Takahashi. 2006. A newly compiled checklist of the vascular plants of the Habomais, the Little Kurils. Bulletin of the Hokkaido University Museum 3:67–91."
48,1,"Garcillan, P. P., J. Luis Leon De La Luz, J. P. Rebman, and J. Delgadillo. 2013. Naturalized non-native plants of Baja California peninsula, Mexico. Botanical Sciences 91:461-475."
49,2,"Gerlach, J. 2003. The biodiversity of the granitic islands of Seychelles. Phelsuma 11 (Supplement A):1–47."
50,1,"Gray, A., T. Pelembe, and S. Stroud. 2005. The conservation of the endemic vascular flora of Ascension Island and threats from alien species. Oryx 39:1-5."
51,4,"Green, P. S. 1994. Flora of Australia Online: Norfolk and Lord Howe Islands. Australia. http://www.anbg.gov.au/abrs/online-resources/flora/. Downloaded on 6 April 2011."
52,2,"Guézou, A., S. Chamorro, P. Pozo, A. M. Guerrero, R. Atkinson, C. Buddenhagen, P. Jaramillo Díaz, and M. Gardener. 2014. CDF Checklist of Galapagos Introduced Plants. In F. Bungartz, H. Herrera, P. Jaramillo, N. Tirado, G. Jiménez-Uzcátegui, D. Ruiz, A. Guézou, and F. Ziemmeck, editors. Charles Darwin Foundation Galapagos Species Checklist. Charles Darwin Foundation, Puerto Ayora, Galapagos."
53,2,"Hill, M. J., editor. 2002. Biodiversity surveys and conservation potential of inner Seychelles islands. Atoll Research Bulletin 495. Smithsonian Institution, Washington, DC."
55,4,"Chacón, E., and G. Saborío-R. 2006. Análisis taxonómico de las especies de plantas introducidas en Costa Rica. Lankesteriana 6:139-147. [Dataset available in:  http://floracostaricensis.myspecies.info/node/483]"
56,3,"Imada, C. T., editor. 2012. Hawaiian Native and Naturalized Vascular Plants Checklist. December 2012 update edition. Bishop Musem Technical Report 60. Bishop Museum, Honolulu; Hawai‘i."
57,5,"Masciadri, S. 2010. pers. communication."
59,6,"Thomas, J. 2013. pers. communication."
60,6,"Meerman, J. C. 2015. pers. communication."
61,1,"Jaryan, V., S. K. Uniyal, R. C. Gupta, and R. D. Singh. 2012. Alien flora of Indian Himalayan State of Himachal Pradesh. Environmental Monitoring and Assessment 185:6129-6153."
62,1,"Johnson, P. N., and D. J. Campbell. 1975. Vascular plants of the Auckland Islands. New Zealand Journal of Botany 13:665–720."
64,2,"Kairo, M., B. Ali, O. Cheesman, K. Haysom, and S. Murphy. 2003. Invasive species threats in the Caribbean Region. Report to the Nature Conservancy."
65,2,"Keighery , G., and V. Longman. 2004. The naturalized vascular plants of Western Australia 1: Checklist, environmental weeds and distribution in IBRA regions. Plant Protection Quarterly 19:12-32."
66,4,"Kenneally, K. F. 1993. Flora of Australia Online: Oceanic islands excluding Norfolk and Lord Howe Islands. Ashmore Reef and Cartier Island: Species lists. http://www.environment.gov.au/biodiversity/abrs/online-resources/flora/50/index.html. Downloaded on 6 April 2011."
67,2,"Kikodze, D., N. Memiadze, D. Kharazishvili, Z. Manvelidze, and H. Mueller-Schaerer. 2010. The alien flora of Georgia. Second Edition."
69,3,"Kobisi, K. 2005. Preliminary checklist of the plants of Lesotho. Southern African Botanical Diversity Network (SABONET), c/o South African National Biodiversity Institute, Private Bag X101, 0001, Pretoria and National University of Lesotho Herbarium, Roma, Lesotho, Pretoria, South Africa."
70,1,"Kull, C. A., J. Tassin, S. Moreau, H. R. Ramiarantsoa, C. Blanc-Pamard, and S. M. Carrière. 2012. The introduced flora of Madagascar. Biological Invasions 14:875-888."
72,3,"Lambdon, P. 2012. Flowering plants and ferns of St. Helena. Pisces Publications for St. Helena nature conservation group."
73,3,"Lazkov, G. A., and B. A. Sultanova. 2011. Checklist of vascular plants of Kyrgyzstan. Norrlinia 24:1-166."
74,3,"Lebrun, J.-P. 1998. Catalogue des plantes vasculaires de la Mauritanie et du Sahara occidental. Boissiera 55:1-322."
75,3,"Lebrun, J.-P., J. Audru, and J. César. 1989. Catalogue des plantes vasculaires de la République de Djibouti. Institut d'élevage et de médecine vétérinaire des pays tropicaux."
76,3,"Levin, G. A., and R. Moran. 1989. The vascular flora of Socorro, Mexico. Memoirs of the San Diego Society of Natural History 16:1–71."
77,2,"Laboratory of Wild Plant Science, Research Institute for Bioresources, Okayama University. 2010. List of Naturalised plants in Japan. http://www.rib.okayama-u.ac.jp/wild/kika_table.htm. Downloaded on 2013."
79,2,"Lysenko, D. S. 2012. Sinantropic flora of magadan region. Russian Academy of Sciences, Far Eastern Branch, Institute of Biological Problems of the North, Magadan."
80,2,"Majorov, S. R., V. D. Boczkin, J. A. Nacimovicz, and A. V. Sczerbakov. 2012. Alien flora of Moscow and Moscow region. KMK publishing, Moscow."
81,1,"Maroyi, A. 2012. The casual, naturalised and invasive alien flora of Zimbabwe based on herbarium and literature records. Koedoe 54:6."
82,1,"Marticorena, C., T. F. Stuessy, and C. M. Baeza. 1998. Catalogue of the vascular flora of the Robinson Crusoe or Juan Fernández islands, Chile. Gayana Botánica 55:187–211."
83,1,"McClatchey, W., R. Thaman, and S. Vodonaivalu. 2000. A preliminary checklist of the flora of Rotuma with Rotuman names. Pacific Science 54:345–363."
84,4,"McCrea, J. 2003. Inventory of the land conservation values of the Houtman Abrolhos Islands. Department of Fisheries, Government of Western Australia, Perth, Australia."
85,2,"Meyer, J.-Y., L. L. Loope, A. Sheppard, J. Munzinger, and T. Jaffré. 2006. Les plantes envahissantes et potentiellement envahissantes dans l’archipel néo-calédonien: première évaluation et recommandations de gestion. Pages 50-115. In M.-L. Beauvais, A. Coléno, H. Jourdan, and D. Chouchan, editors. Les espèces envahissantes dans l'archipel néo-calédonien  = Invasive species in the New Caledonian archipelago. IRD, Paris."
86,3,"Correa, M. D., C. Galdames, and M. S. de Stapf, editors. 2004. Catálogo de las plantas vasculares de Panamá. Publicó ANAM, Universidad de Panama, Instituto Smithsonian de Investigaciones Tropicales."
87,6,"Morozova, O. 2013. pers. communication."
88,3,"Newman, M., S. Ketphanh, B. Svengsuksa, P. Thomas, K. Sengdala, V. Lamxay, and K. Armstrong. 2007. A Checklist of the Vascular Plants of Lao PDR. Royal Botanic Garden Edinburgh."
89,3,"Norton, J., S. Abdul Majid, D. Allan, M. Al Safran, B. Böer, and R. Richer. 2009. An Illustrated Checklist of the Flora of Qatar. Browndown Publications, Gosport, UK."
90,2,"Ojasti, J. 2001. Estudio sobre del estado actual de las especies exóticas. Estudio Nacional. Caracas, Venezuela."
91,2,"Oviedo Prieto, R., P. Herrera Oliver, M. G. Caluff, L. Regalado, I. Ventosa Rodríguez, J. M. Plasencia Fraga, I. Baró Oviedo, P. A. González Gutiérrez, J. Pérez Camacho, L. Hechavarría Schwesinger, L. González-Oliva, L. Catasús Guerra, J. Padrón Soroa, S. I. Suárez Terán, R. Echevarría Cruz, I. M. Fuentes Marrero, R. Rosa Angulo, P. Oriol Rodríguez, W. Bonet Mayedo, M. Villate Gómez, N. Sánchez Abad, G. Begué Quiala, R. Villaverde López, T. Chateloin Torres, J. Matos Mederos, R. Gómez Fernández, C. Acevedo, J. Lóriga Piñeiro, M. Romero Jiménez, I. Mesa Muñoz, Á. Vale González, A. T. Leiva, J. A. Hernández Valdés, N. E. Gómez Campo, B. L. Toscano Silva, M. T. González Echevarría, A. Menéndez García, M. I. Chávez Zorrilla, and M. Torres Cruz. 2012. Lista nacional de especies de plantas invasoras y potencialmente invasoras en la República de Cuba – 2011. Bissea 6:22-96."
94,4,"Pelser, P. B., J. F. Barcelona, and D. L. Nickrent. 2011. Co's Digital Flora of the Philippines. http://www.philippineplants.org/. Downloaded on 1 April 2013."
96,2,"Petrova, A., V. Vladimirov, and V. Georgiev. 2013. Invasive Alien Species of Vascular Plants in Bulgaria. Institute of Biodiversity and Ecosystem Research, Bulgarian Academy of Sciences, Sofia, Bulgaria."
98,3,"Phiri, P. S. M. 2005. A checklist of Zambian vascular plants. Southern African Botanical Diversity Network Report 32. Southern African Botanical Diversity Network (SABONET), Pretoria, South Africa."
100,4,"PRECIS (National Herbarium Pretoria Computerised Information System). 2013. Plants of Southern Africa: an online checklist. Pretoria, South Africa. http://posa.sanbi.org/intro_precis.php. Downloaded on 09 March 2015."
101,3,"Proctor, G. R. 1989. Ferns of Puerto Rico and the Virgin Islands. Memoirs of the New York Botanical Garden, Bronx, New York."
102,2,"Cochrane, P., Director of National Parks. 2004. Second Pulu Keeling National Park Management Plan. Parks Australia North, Commonwealth of Australia."
103,3,"Raulerson, L. 2006. Checklist of plants of the Mariana Islands. University of Guam Herbarium Contribution 37:1–69."
104,3,"Releford, J. S., J. Stevens, K. W. Bridges, and W. C. McClatchey. 2009. Flora of Rongelap and Ailinginae Atolls, Republic of the Marshall Islands. Atoll Research Bulletin 572."
105,2,"Robbins, S. K., M. A. Hamilton, C. Clubbe, and S. Bárrios. 2008. The Montserrat plant species checklist. Pages 144-236. In R. P. Young, editor. A biodiversity assessment of the Centre Hills, Montserrat."
106,2,"Roy, H. E., J. Bacon, B. Beckmann, C. A. Harrower, M. O. Hill, N. J. B. Isaac, C. D. Preston, B. Rathod, and S. L. Rorke. 2012. Non-native species in Great Britain: establishment, detection and reporting to inform effective decision making. GB-Non-Native Species Information Portal (GB-NNSIP)."
107,1,"Sachet, M.-H. 1962. Flora and vegetation of Clipperton Island. Proceedings of the California Academy of Sciences 31:249–307."
108,5,"Henderson, L. 2013. SAPIA Database & Pretoria National Herbarium Computerised Information System. Lesley Henderson. http://www.agis.agric.za/wip/. Downloaded on 20 December 2013."
109,2,"SEAMEO BIOTROP. 2003. Penyebaran jenis tumbuhan asing di Indonesia. Southeast Asian Regional Centre for Tropical Biology."
110,3,"Senaratna, L. K. 2001. A Check List of the Flowering Plants of Sri Lanka. National Science Foundation of Sri Lanka, Colombo, Sri Lanka."
111,3,"Setshogo, M. P. 2005. Preliminary Checklist of the Plants of Botswana. Southern African Botanical Diversity Network Report, Pretoria and Gaborone."
112,3,"Short, P. S., D. E. Albrecht, I. D. Cowie, D. L. Lewis, and B. Stuckey. 2011. Checklist of the Vascular Plants of the Northern Territory. Northern Territory Herbarium, Department of Natural Resources, Environment, The Arts and Sport, Northern Territory of Australia."
113,6,"Shu, W. 2013. pers. communication."
114,2,"Space, J. C., and T. Flynn. 2001. Report to the Kingdom of Tonga on Invasive Plant Species of Environmental Concern. U.S.D.A. Forest Service, Pacific Southwest Research Station, Institute of Pacific Islands Forestry, Honolulu, Hawai‘i, USA."
115,3,"St John, H. 1960. Flora of Eniwetok Atoll. Pacific Science 14:313-336."
116,4,"Stace, C. A., R. G. Ellis, D. H. Kent, and D. J. McCosh. 2003. Vice-county Census Catalogue of the vascular plants of Great Britain, the Isle of Man and the Channel Islands. Botanical Society of Britain & Ireland, London, UK. http://www.botanicalkeys.co.uk/flora/vccc/. Downloaded on 12 July 2017."
118,3,"Fosberg, F. R., and D. R. Stoddart. 1994. Flora of the Phoenix Islands, Central Pacific. Atoll Research Bulletin 393:1–60."
119,5,"Swaziland National Trust Commission. 2013. Swaziland´s Alien Plants Database. http://www.sntc.org.sz/alienplants/specieslist.asp. Downloaded on 6 February 2017."
120,1,"Takahashi, H., V. Y. Barkalov, S. Gage, B. Semsrott, M. Ilushko, and Y. N. Zhuravlev. 2006. A floristic study of the vascular plants of Kharimkotan, Kuril Islands. Bulletin of the Hokkaido University Museum 3:41–66."
121,1,"Tatewaki, M. 1957. Geobotanical studies on the Kurile Islands. Acta Horti Gotoburgensis 21:43–123."
122,4,"Telford, I. R. H. 1993. Flora of Australia Online: Oceanic islands excluding Norfolk and Lord Howe Islands. Cocos (Keeling) Islands: Species lists. http://www.environment.gov.au/biodiversity/abrs/online-resources/flora/50/. Downloaded on 7 April 2011."
123,4,"Telford, I. R. H. 1993. Flora of Australia Online: Oceanic islands excluding Norfolk and Lord Howe Islands. Coral Sea Islands Territory: Species lists. http://www.environment.gov.au/biodiversity/abrs/online-resources/flora/50/. Downloaded on 7 April 2011."
124,1,"Thaman, R. R., G. Keppel, D. Watling, B. Thaman, T. Gaunavinaka, A. Naikatini, B. Thaman, N. Bolaqace, E. Sekinoco, and M. Masere. 2005. Nasoata mangrove island, the PABITRA coastal study site for Viti Levu, Fiji Islands. Pacific Science 59:193–204."
125,4,"Anonymous. 2013. The Checklist Flore d'Afrique Centrale - Flora of Central Africa: checklist of the vascular plants of the Democratic Republic of the Congo, Rwanda and Burundi. http://floreafriquecentrale.org/. Downloaded on 18 December 2013."
126,3,"Thiombiano, A., M. Schmidt, S. Dressler, A. Ouédraogo, K. Hahn, and G. Zizka. 2012. Catalogue des plantes vasculaires du Burkina Faso. Boissiera 65. Conservatoire et Jardin botaniques de la Ville de Genève, Chambésy, Switzerland."
127,2,"Tokarska-Guzik, B., Z. Dajdok, M. Zając, A. Zając, A. Urbisz, W. Danielewicz, and C. Hołdyński. 2012. Rośliny obcego pochodzenia w Polsce ze szczególnym uwzględnieniem gatunków inwazyjnych. Generalna Dyrekcja Ochrony Środowiska, Warsaw, Poland."
128,3,"Turner, I. M. 1995. A Catalogue of the Vascular Plants of Malaya. The Garden´s Bulletin 47."
130,2,"van der Burg, W. J., J. de Freitas, A. O. Debrot, and L. A. P. Lotz. 2012. Naturalised and invasive alien plant species in the Caribbean Netherlands: status, distribution, threats, priorities and recommendations. Plant Research International, part of Wageningen UR, Business Unit Agrosystems Research, Wageningen, the Netherlands."
131,1,"Vander Velde, N. 2003. The vascular plants of Majuro atoll, Republic of the Marshall Islands. Atoll Research Bulletin 503."
132,1,"Wace, N. M., and J. H. Dickson. 1965. The biological report of The Royal Society expedition to Tristan da Cunha, 1962. Part II. The terrestrial botany of the Tristan da Cunha Islands. Philosophical Transactions of the Royal Society of London B 249:273–360."
134,1,"Wasowicz, P., E. M. Przedpelska-Wasowicz, and H. Kristinsson. 2013. Alien vascular plants in Iceland: Diversity, spatial patterns, temporal trends, and the impact of climate change. Flora 208:648-673."
135,3,"Wester, L. 1985. Checklist of the vascular plants of the northern Line Islands. Atoll Research Bulletin 287:1–38."
136,3,"Whistler, W. A. 1983. Vegetation and flora of the Aleipata Islands, Western Samoa. Pacific Science 37:227–249."
137,2,"Whistler, W. A. 1996. Botanical survey of Diego Garcia, Chagos Archipelago, British Indian Ocean Territory. Isle Botanica Appendix E1:1–72."
138,2,"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii."
139,6,"Wieringa, J. 2013. pers. communication."
140,1,"Wu, S. H., T. Y. A. Yang, Y. C. Teng, C. Y. Chang, K. C. Yang, and C. F. Hsieh. 2010. Insights of the latest naturalized flora of Taiwan: Change in the past eight years. Taiwania 55:139-159."
142,5,"Anonymous. 2007. Alien species of Thailand. http://chm-thai.onep.go.th/chm/alien/ias/list.aspx. Downloaded on 10 May 2015."
143,5,"Anonymous. 2012. Alien species of forest ecosystems - Thailand. http://chm-thai.onep.go.th/chm/alien/forest_ecosystem.html. Downloaded on 10 May 2015."
144,2,"Zungsontiporn, S. 20xx (exact publication year unknown). Global invasive plants in Thailand and its status and a case study of Hydrocotyle umbellata L., Weed Science Group, Plant Protection Research and Development Office, Department of Agriculture, Bangkok, Thailand."
145,2,"Banpot, N. 2004. Management of Invasive Alien Species in Thailand. Food and Fertilizer Technology Center (FFTC) for the Asian and Pacific Region, Bangkok, Thailand. http://www.fftc.agnet.org/library.php?func=view&id=20110718163847&type_id=4. Downloaded on 11 May 2015."
147,1,"Antonova, L. A. 2010. New alien plant species in the flora of Khabarovsk Region. Turczaninowia 13:113-116."
148,6,"Poopath, M. 2015. pers. communication."
1997,4,"Kartesz, J. T., and M. Nishino. 2015. pers. communication."
2008,4,"Figueiredo, E., and G. F. Smith. 2008. Plants of Angola/Plantas de Angola. Strelitzia 22. South African National Biodiversity Institute, Pretoria; and Figueiredo, E. 2015. pers. communication."
2321,1,"Dudeque Zenni, R. 2015. The naturalized flora of Brazil: a step towards identifying future invasive non-native species. Rodriguésia 66:1137-1144."
2322,1,"Moragues Botey, E. 2005. Flora alóctona de las Islas Baleares. Ecología de dos especies invasoras: Carpobrotus edulis & Carpobrotus aff. acinaciformis. Universitat de les Illes Balears."
2325,6,"Alexanyan, A. 2015. pers. communication."
