"ref_id","ref_type","reference"
2360,4,"Conn, B. J. 2008+. Census of Vascular Plants of Papua New Guinea. http://www.pngplants.org/PNGCensus. Downloaded on 15 August 2016."
2361,5,"Lusweti, A., E. Wabuyele, P. Ssegawa, and J. R. Mauremootoo. 2011. Invasive plants of East Africa (Kenya, Uganda and Tanzania), Lucid v. 3.5 key and fact sheets. National Museums of Kenya, Makerere University, BioNET-EAFRINET, CABI & The University of Queensland (September 2011). http://keys.lucidcentral.org/keys/v3/eafrinet/plants.htm. Downloaded on 10 August 2016."
2362,4,"D’Arcy, W. G. 1987. Panama Checklist. http://www.tropicos.org/Project/PAC. Downloaded on 19 August 2016."
2363,2,"Pettit, D., A. Copeland, R. Marirea, J. Madeiros, D. Wingate, and L. Hollis. 2012. Indigenous & Invasive Plants of Bermuda. Bermuda Plantfinder. An illustrated guide to Bermuda's plants. Government of Bermuda, Ministry of Public Works, Department of Conservation Services, Bermuda."
2364,1,"Meurk, C. D. 1982. Supplementary notes on plant distributions of the subantarctic Auckland Islands. New Zealand Journal of Botany 20:373-380."
2365,1,"Akter, A., and M. I. Zuberi. 2009. Invasive alien species in Northern Bangladesh: identification, inventory and impacts. International Journal of Biodiversity and Conservation 1:129-134."
2366,2,"Hossain, M. K., and M. K. Pasha. 2001. Alien invasive plants in Bangladesh and their impacts on the ecosystem. In Aliens. Invasive Species Specialist Group of the IUCN Species Survival Commission."
2367,1,"Rahman, H. M., M. A. S. A. Khan, M. J. Fardus, and B. Roy. 2010. Status, distribution and diversity of invasive forest undergrowth species in the tropics: a study from northeastern Bangladesh. Journal of Forest Science 26:149-159."
2368,1,"Uddin, M. B., M. J. Steinbauer, A. Jentsch, S. A. Mukul, and C. Beierkuhnlein. 2013. Do environmental attributes, disturbances and protection regimes determine the distribution of exotic plant species in Bangladesh forest ecosystem? Forest Ecology and Management 303:72-80."
2370,6,"Villaseñor, J. L. 2016. pers. communication."
2372,3,"Britton, N. L. 1918. Flora of Bermuda. C. Scribner's sons."
2373,1,"Stalter, R., and E. E. Lamont. 2006. The Historical and Extant Flora of Sable Island, Nova Scotia, Canada. The Journal of the Torrey Botanical Society 133:362-374."
2374,3,"Thaman, R. R., F. R. Fosberg, H. I. Manner, and D. C. Hassall. 1994. The flora of Nauru. Atoll Research Bulletin 392:1–233."
2375,4,"Wagner, W. L., and D. H. Lorence. 2002. Flora of the Marquesas Islands website. Washington, DC. http://botany.si.edu/pacificislandbiodiversity/marquesasflora/index.htm. Downloaded on 28 November 2014."
2376,1,"Essl, F., and W. Rabitsch. 2008. AliensAustria. Database on alien species in Austria. Environment Agency Austria, unpublished."
2377,6,"Brundu, G. 2016. pers. communication."
2378,1,"Tassin, J., J. N. Riviere, M. Cazanove, and E. Bruzzese. 2006. Ranking of invasive woody plant species for management on Réunion Island. Weed research 46:388-403."
2379,6,"Ebel, A. L. 2016. pers. communication."
2380,4,"University of Greifswald, Institute of Botany and Landscape Ecology, Institute of Geography and Geology, Computer Centre. 2010- (continuously updated). FloraGREIF - Virtual Flora of Mongolia. Computer Centre of University of Greifswald, D-17487 Greifswald, Germany. http://greif.uni-greifswald.de/floragreif/. Downloaded on 8 July 2013."
2381,6,"Wieringa, J. 2016. pers. communication."
2382,1,"Sheil, D. 1994. Naturalized and invasive plant species in the evergreen forests of the East Usambara Mountains, Tanzania. African Journal of Ecology 32:66-71."
2383,1,"Iversen, S. T. 1991. The Usambara mountains, NE Tanzania: phytogeography of the vascular plant flora. Uppsala."
2384,3,"Boudet, G., J.-P. Lebrun, and R. Demange. 1986. Catalogue des plantes vasculaires du Mali. Etudes et synthèses de l'IEMVT 16. CIRAD-IEMVT, Maisons-Alfort, France."
2385,4,"Instituto de Botánica Darwinion. 2014. Catálogo de las Plantas Vasculares del Cono Sur. Argentina. http://www.darwin.edu.ar/Proyectos/FloraArgentina/fa.htm. Downloaded on 16.03.2015."
2387,4,"BioScripts. 2014. Flora Vascular. http://www.floravascular.com/. Downloaded on 25 May 2014."
2388,3,"Borges, P. A. V., A. Costa, R. Cunha, R. Gabriel, V. Gonçalves, A. F. Martins, I. Melo, M. Parente, P. Raposeiro, P. Rodrigues, R. S. Santos, L. Silva, P. Vieira, and V. Vieira. 2010. A list of the terrestrial and marine biota from the Azores. Princípia, Cascais."
2389,3,"Egea, J. d., M. Peña-Chocarro, C. Espada, and S. Knapp. 2012. Checklist of vascular plants of the Department of Ñeembucú, Paraguay. Phytokeys 9:15–179."
2390,3,"Funk, V. A., T. Hollowell, P. Berry, C. Kelloff, and S. N. Alexander. 2007. Checklist of the plants of the Guiana Shield (Venezuela: Amazonas, Bolivar, Delta Amacuro; Guyana, Surinam, French Guiana). Department of Botany, National Museum of Natural History, Washington, DC."
2391,2,"Government, Q. 2014. Census of the Queensland flora 2014. https://data.qld.gov.au/dataset/census-of-the-queensland-flora-2014. Downloaded on 05.02.2015."
2392,3,"Rakov, N. S., S. V. Saksonov, S. А. Senator, and V. M. Vasjukov. 2014. Vascular plants of Ulyanovsk Region. Flora of the Volga River Basin VII. Russian Academy of Sciences, Togliatti."
2393,1,"Strahm, W. A. 1993. The conservation and restoration of the flora of Mauritius and Rodrigues. PhD Thesis. University of Reading, UK."
2394,4,"Tropicos. 2015. Catálogo de las Plantas Vasculares de Bolivia. Missouri Botanical Garden, St. Louis. http://www.tropicos.org/Project/BC. Downloaded on 10 September 2015."
2397,3,"Vogt, C. 2011. Composición de la Flora Vascular del Chaco Boreal, Paraguay. I. Pteridophyta y Monocotiledoneae. Steviana 3:13–47."
2398,4,"Royal Botanic Gardens Board Victoria. 2016. VicFlora: Flora of Victoria. http://vicflora.rbg.vic.gov.au. Downloaded on 30.11.2016."
2399,1,"Uludag, A., N. Aksoy, A. Yazlık, Z. F. Arslan, E. Yazmış, I. Uremis, T. A. Cossu, Q. Groom, J. Pergl, P. Pyšek, and G. Brundu. 2017. Alien flora of Turkey: checklist, taxonomic composition and ecological attributes. NeoBiota 35:61-85."
2400,4,"Landcare Research New Zealand Limited. 1996-2005. Ecological Traits of New Zealand Flora. http://ecotraits.landcareresearch.co.nz/WeedsIntro.aspx. Downloaded on 09 May 2017."
2401,6,"Zeddam, A. 2017. pers. communication."
2402,4,"Tropicos. 2016. Catalogue of the Vascular Plants of Ecuador. Missouri Botanical Garden, St. Louis. http://www.tropicos.org/projectwebportal.aspx?pagename=Home&projectid=2. Downloaded on 23 December 2016."
2403,4,"Nikolić, Toni, editor. 2015. Flora Croatica Database. Department of Botany, Faculty of Science, University of Zagreb, Zagreb. http://hirc.botanic.hr/fcd. Downloaded on 20 June 2017."
2404,6,"Nowak, A. 2016. pers. communication."
2405,4,"Bundesamt für Naturschutz. 2016. Floraweb. www.floraweb.de. Downloaded on 15 September 2016."
2407,6,"Brundu, G. 2017. pers. communication."
2408,6,"Rejmánek, M. 2017. pers. communication."
2409,2,"Dufour-Dror, J.-M., and O. Fragman-Sapir. 2018. Alien plant species in natural and disturbed areas in Israel. In J.-M. Dufour-Dror, editor. Alien invasive plants in Israel. Cana publishing, Jerusalem, Israel."
2410,2,"Witt, A. 2017. Guide to the naturalized and invasive plants of Eastern Africa. CABI, Wallingford, UK."
2411,4,"Royal Botanic Gardens and Domain Trust. 2016. PlantNET (The NSW Plant Information Network System). Sydney. http://plantnet.rbgsyd.nsw.gov.au. Downloaded on 16 September 2016."
2412,4,"Western Australian Herbarium. 1998-. FloraBase - the Western Australian Flora. Department of Biodiversity, Conservation and Attractions. https://florabase.dpaw.wa.gov.au/. Downloaded on 16 September 2016."
2413,5,"Instituto Hórus de Desenvolvimento e Conservação Ambiental. 2017. National Invasive Alien Species Database. http://i3n.institutohorus.org.br/www. Downloaded on 28 August 2017."
2414,1,"Antonova, L. A. 2017. Current state of the alien component in the flora of the Khabarovsk territory. Региональные проблемы 20:5-12."
2415,1,"Inderjit, J. Pergl, M. van Kleunen, M. Hejda, C. R. Babu, S. Majumdar, P. Singh, S. P. Singh, S. Salamma, B. R. P. Rao, and P. Pyšek. 2018. Naturalized alien flora of the Indian states: biogeographic patterns, taxonomic structure and drivers of species richness. Biological Invasions 20:1625-1638."
2416,2,"Jogan, N., M. Bačič, and S. Strgulc Krajšek. 2012. Neobiota Slovenije, končno poročilo projekta. Oddelek za biologijo BF UL, Ljubljana."
2417,6,"Ansong, M., J. Pergl, F. Essl, M. Hejda, M. van Kleunen, R. Randall, and P. Pyšek. 2018. Naturalized and invasive alien flora of Ghana."
2418,6,"Ebel, A. L. 2017. pers. communication."
2419,4,"McCormack, G. 2007. Cook Islands Biodiversity Database, Version 2007.2. Cook Islands Natural Heritage Trust, Rarotonga. http://cookislands.bishopmuseum.org. Downloaded on 30 April 2018."
2420,4,"Tropicos. 2017. Peru Checklist. Missouri Botanical Garden, Saint Louis, Missouri. http://www.tropicos.org/NameSearch.aspx?projectid=5. Downloaded on 9 June 2017."
