OBJIDsic,LAT,LON,GeodAREA,taxCount,region_id,code,name,island,tdwg4,tdwg4_name,tdwg3,tdwg2,tdwg1,tdwg1_name,country_IS,country
926,0.517084998,37.84942418,582172.8275,433,417,KEN,Kenya,0,KEN-OO,Kenya,KEN,25,2,Africa,KEN,Kenya
942,6.442044154,-9.310681207,95175.56716,157,433,LBR,Liberia,0,LBR-OO,Liberia,LBR,22,2,Africa,LBR,Liberia
943,27.02894338,18.02259361,1619009.66,48,434,LBY,Libyan Arab Jamahiriya,0,LBY-OO,Libya,LBY,20,2,Africa,LBY,Libya
947,-29.58313666,28.22271735,30736.70392,580,438,LSO,Lesotho,0,LES-OO,Lesotho,LES,27,2,Africa,LSO,Lesotho
951,31.89640609,-6.323640227,405714.6701,177,442,MAR,Morocco,0,MOR-MO,Morocco,MOR,20,2,Africa,MAR,Morocco
953,-19.37316753,46.70599831,592983.8836,667,444,MDG,Madagascar,1,MDG-OO,Madagascar,MDG,29,2,Africa,MDG,Madagascar
992,17.34774498,-3.522289273,1256003.59,82,482,MLI,Mali,0,MLI-OO,Mali,MLI,22,2,Africa,MLI,Mali
1007,-13.07106912,36.46216181,128705.4913,68,497,MOZ.A,Nassa,0,MOZ-OO,Mozambique,MOZ,26,2,Africa,MOZ,Mozambique
1008,-19.03983459,33.43244239,62852.44265,96,498,MOZ.B,Manica,0,MOZ-OO,Mozambique,MOZ,26,2,Africa,MOZ,Mozambique
1009,-23.32010812,32.80027552,75562.59711,89,499,MOZ.G,Gaza,0,MOZ-OO,Mozambique,MOZ,26,2,Africa,MOZ,Mozambique
1010,-22.80878565,34.50918783,68116.29908,34,500,MOZ.I,Inhambane,0,MOZ-OO,Mozambique,MOZ,26,2,Africa,MOZ,Mozambique
1011,-25.5420086,32.44933461,23673.72725,325,501,MOZ.L,Maputo,0,MOZ-OO,Mozambique,MOZ,26,2,Africa,MOZ,Mozambique
1012,-14.96365802,39.25697443,78281.8807,34,502,MOZ.N,Nampula,0,MOZ-OO,Mozambique,MOZ,26,2,Africa,MOZ,Mozambique
1013,-12.45871029,39.36694245,78151.93316,17,503,MOZ.P,Cabo Delgado,0,MOZ-OO,Mozambique,MOZ,26,2,Africa,MOZ,Mozambique
1014,-16.65950034,36.98677095,102689.0642,44,504,MOZ.Q,Zambezia,0,MOZ-OO,Mozambique,MOZ,26,2,Africa,MOZ,Mozambique
1015,-19.05274316,34.67834079,67345.31853,84,505,MOZ.S,Sofala,0,MOZ-OO,Mozambique,MOZ,26,2,Africa,MOZ,Mozambique
1016,-15.52172965,32.76520558,100961.8865,73,506,MOZ.T,Tete,0,MOZ-OO,Mozambique,MOZ,26,2,Africa,MOZ,Mozambique
1017,20.25646738,-10.33285221,1037775.538,76,507,MRT,Mauritania,0,MTN-OO,Mauritania,MTN,22,2,Africa,MRT,Mauritania
1020,-20.25186571,57.87076664,2144.894281,746,510,MUS,Mauritius,1,MAU-OO,Mauritius,MAU,29,2,Africa,MUS,Mauritius
1021,-13.19710377,34.2883337,116981.5808,56,511,MWI,Malawi,0,MLW-OO,Malawi,MLW,26,2,Africa,MWI,Malawi
1023,-22.13868212,17.21857594,825516.904,767,513,NAM,Namibia,0,NAM-OO,Namibia,NAM,27,2,Africa,NAM,Namibia
1025,17.42061223,9.405025135,1181786.908,41,515,NER,Niger,0,NGR-OO,Niger,NGR,22,2,Africa,NER,Niger (the)
1027,9.594317553,8.101299007,909687.2871,218,517,NGA,Nigeria,0,NGA-OO,Nigeria,NGA,22,2,Africa,NGA,Nigeria
1075,32.50762808,-16.50883382,13.97360647,16,536,PRT.DES,Desertas,1,MDR-OO,Madeira,MDR,21,2,Africa,PRT,Portugal
1076,32.74633725,-16.9991297,740.9377313,889,537,PRT.MAD,Madeira,1,MDR-OO,Madeira,MDR,21,2,Africa,PRT,Portugal
1077,33.06918042,-16.34217391,40.3314766,101,539,PRT.PSA,Porto Santo,1,MDR-OO,Madeira,MDR,21,2,Africa,PRT,Portugal
1078,30.11226344,-15.91922771,4.848377925,17,540,PRT.SIS,Salvage Islands,1,SEL-OO,Selvagens,SEL,21,2,Africa,PRT,Portugal
1192,-1.991346046,29.93879739,24924.72055,331,658,RWA,Rwanda,0,RWA-OO,Rwanda,RWA,23,2,Africa,RWA,Rwanda
1194,13.8315346,30.04995152,2486951.977,68,660,SDN,Sudan (incl. South Sudan),0,SUD-OO,Sudan,SUD,24,2,Africa,SDN,Sudan (the)
1195,14.36833907,-14.46307741,196705.0853,106,661,SEN,Senegal,0,SEN-OO,Senegal,SEN,22,2,Africa,SEN,Senegal
1202,8.550595205,-11.77522898,72808.41145,81,670,SLE,Sierra Leone,0,SIE-OO,Sierra Leone,SIE,22,2,Africa,SLE,Sierra Leone
