OBJIDsic,Region_unique,yearGDP,GDPpcRegion
172,USA_Hawaiian_Islands_Kaloko_Honokohau_National_Historical_Park_172,,
171,USA_Hawaii_Island_171,2010,43046.84
1279,USA_Hawaii_1279,2010,43047.00
1000,USA_Guguan_1000,,uninhabited
869,USA_Guam_869,2010,41376.00
163,USA_Great_Gull_Island_163,,
1278,USA_Georgia_1278,2010,35999.00
1366,USA_Gardner_Pinnacles_1366,,uninhabited
151,USA_French_Frigate_Shoals_151,,uninhabited
1277,USA_Florida_1277,2010,39587.00
141,USA_Fire_Island_141,2010,50347.00
135,USA_Farallon_Island_135,2010,44046.00
999,USA_Farallon_de_Pajaros_999,,uninhabited
116,USA_District_of_Columbia_116,2010,73257.00
1276,USA_Delaware_1276,2010,41541.00
477,USA_Coterminous_USA_477,2010,41376.00
1274,USA_Connecticut_1274,2010,56193.00
1273,USA_Colorado_1273,2010,43819.00
75,USA_Central_Florida_75,2010,39586.51
1272,USA_California_1272,2010,44046.00
536,USA_Aunuu_536,2010,41376.00
996,USA_Asuncion_996,,uninhabited
33,USA_Assateague_Island_33,2010,50789.00
1270,USA_Arkansas_1270,2010,33987.00
1271,USA_Arizona_1271,2010,35783.00
15,USA_Angel_Islands_15,2010,44046.00
998,USA_Anatahan_998,,uninhabited
10,USA_Anacapa_10,2010,44046.00
6,USA_American_Samoa_6,2010,41376.00
3,USA_Alcatraz_3,,
1268,USA_Alaska_1268,2010,45826.00
994,USA_Alamagan_994,,uninhabited
1269,USA_Alabama_1269,2010,34711.00
997,USA_Aguijan_997,,uninhabited
995,USA_Agrihan_995,,uninhabited
1267,URY_Uruguay_1267,2000,8618.89
473,UKR_Upper_Dniester_473,2010,4360.94
1266,UKR_Ukraine_1266,2010,5889.90
106,UKR_Crimea_106,2010,4360.94
46,UKR_Black_Sea_Area_46,2010,4360.94
1265,UGA_Uganda_1265,2005,963.93
1264,TZA_Tanzania_1264,2010,1177.70
1263,TWN_Taiwan_1263,2005,26692.99
469,TUV_Tuvalu_469,2010,3238.50
1262,TUR_Turkey_Europe_1262,2000,8158.76
463,TUR_Turkey_463,2000,8158.76
1261,TUN_Tunisia_1261,2005,5667.38
460,TTO_Trinidad_and_Tobago_460,2010,15494.70
1260,TON_Tonga_1260,2010,3552.60
